,UserId,AssignmentId,Fig1,Fig2,Fig3,Fig4,Fig5,Fig6,Fig7,Fig8,Fig9,Fig10
1,A16JMJHOUC2MGE,3YHH42UU5CNANGFMCATK2EXE3M5L05,False,False,True,False,False,True,False,True,True,False
2,A1QSN98P7DOIPR,3ND9UOO81LA3V6G75HM5996I4RKWLI,False,True,False,False,True,False,True,False,True,True
3,A1YZK4C8Y49H95,32KTQ2V7RENCPSLKCIDSV2DW6VQ9M8,True,True,True,True,False,True,True,True,False,True
4,A20VNT5IHVO401,3FPRZHYEPZF90DQD91D9RLTNXWSV3U,False,True,False,True,False,False,True,False,True,True
5,A21TGZU9EXJ272,3GNA64GUZFCK9KH01L7S0VSZU055Q1,False,False,True,True,False,True,False,True,True,True
6,A23HM12PMNQJ6P,3T3IWE1XG7VMUMSQ2HPQ3BYDA3PTQE,False,True,True,True,False,False,False,True,False,True
7,A2CY1TSQ3KKP5Q,36DSNE9QZ66PV7J5BAJIC0G4X0HJOS,False,False,False,False,False,True,True,True,True,True
8,A2E6YPCJHJOLRD,3W92K5RLWVPCESDHNK126IR7BSJ5VU,False,True,True,False,True,True,False,False,False,True
9,A2WD7K61WGL37E,39RP059MEI1VDL0HA2ROM88MUVTBMK,True,True,True,False,True,True,True,False,True,True
10,A2ZEL4GCEZ1PF5,3E47SOBEYR4SR72W3NPR5Z7NV79CIC,True,False,False,True,False,True,False,True,False,True
11,A37MQE3V7PAGMB,3LRKMWOKB6P1OFZ46YO7TH1RFTZ2ZR,True,True,True,True,True,True,False,False,True,False
12,A37P99M7Q997H0,33SA9F9TRY2PP06FOVZ1WEGYVUJWEV,False,False,True,False,True,True,False,False,False,True
13,A38GQRXKQ1SWT6,3J2UYBXQQMKS4VCFP6NIDVFHDRH06D,False,True,True,True,True,True,True,False,False,True
14,A39I0RCEOJLFF5,3UJ1CZ6IZIXWM0WDTPWXVV70COP5SP,True,False,True,True,False,True,False,True,True,True
15,A39R1JNZUVVUPG,3OE22WJIGJW1UZ7F2MF087KFTHXQU3,False,True,True,True,False,True,True,True,True,True
16,A3DK4DDLEWCMM1,3PEIJLRY6U1YV0XWJ0PTK315B0UXW5,False,False,False,True,False,True,True,True,True,True
17,A3OLRWACCCCUTU,3UN61F00HXXKLLW0E0WS5L24QM65R1,True,True,False,True,False,True,False,False,True,True
18,A40O6S62MI2VC,31JLPPHS2V2EATHG8PRVWTZF13VO3L,False,True,False,True,False,True,True,True,True,False
19,A4GXHVTRGW5P8,3JNQLM5FT5UHJQI0RXXYL2QT0KPL2P,True,True,True,True,True,False,False,True,True,True
20,A8289AEOKHKV4,3S0TNUHWKUQ97TWXUX8BCGVRDBG8D0,False,True,False,True,True,False,True,False,True,True
21,A9KPX8I7QZVF7,3X31TUMD7YUAU5048TXKGJGO8EDL1A,True,True,False,True,True,True,False,False,True,True
22,ADDNKKYJ7VUA,3DYGAII7PMGO2UZJL0G6Y1XGL05QP7,False,True,True,False,True,True,False,False,True,True
23,AHS25EUBSVR17,3U4J9857OFJCSITU6WPZ3QBWZ6YB79,True,False,True,False,True,True,True,True,True,True
24,ALOYY3E72AQ1K,3H7Z272LX8FDBXJ6TV8AHFYMBUHLPC,False,True,False,True,True,True,False,True,True,True
25,ANWY0TG55MWW9,3S06PH7KSSCRWTCCVCZWX68JZ5A1D9,True,True,True,True,True,True,True,True,False,True
26,ARZEZGD9TYK3Q,3SKEMFQBZ4DHLZ27MEUYGTQHXKDK8P,False,True,True,True,False,True,False,True,False,True
27,AVWU9JDY5G81E,38SKSKU7R25LUBW2G0IQ8IXAPGMLI0,False,True,True,True,True,False,False,False,True,True
28,AXPZAP62ZYWP8,36V4Q8R5ZL8IHR26TKOEHX3LGVUMQ7,False,True,True,True,False,False,True,True,True,True
29,A10TULADSAGML1,3J88R45B2H68BR0V7EBYS9T9IE8PX5,True,True,True,True,True,True,True,True,False,True
30,A12O9P1OTMJOPW,3LOZAJ85YELCJKZP5G0MWWLG74FX2P,False,True,True,True,True,True,True,False,True,True
31,A1M5BJTQIXCM33,34PGFRQONPJX0GS72WASTUTQ0DVWJI,True,False,True,True,False,True,False,True,False,False
32,A1R7TK9LKSM72O,3XC1O3LBOTUB3PCDACHUMPZJ08JTLS,True,False,True,True,True,True,True,True,False,False
33,A1V82SWG9MABGO,3HQUKB7LNGMJCK2SJXL7GE3O8XKHH4,False,True,False,True,True,False,True,False,True,True
34,A21EZISIJ3JPSW,3QJOXOW4XKZTKOC1KTTENGE7X3SEMV,True,False,True,True,True,True,False,False,True,False
35,A23N7CY762BLON,3WMOAN2SRC5G4HJNRKXO0ZRT2O2VNF,True,False,True,True,False,True,False,True,False,True
36,A27CRMVD7S41J,3O6CYIULEE96EW31EVE60W21HTVUWE,True,True,True,True,True,False,True,False,False,True
37,A2E1GWCDFUAZA3,3NXNZ5RS1B5T4PEX8CB3CKG6BHB97Z,True,True,True,True,False,True,False,True,True,True
38,A2LGGU6XX7Y9S9,3TYCR1GOTDR7P1LCG46C8D00L45LZ0,True,False,True,True,True,True,True,True,False,True
39,A2W434UNNBRS4L,3ZAZR5XV02QEMXR63RDD5UADRV8CZS,False,False,False,True,True,True,False,True,True,True
40,A2X4VVIXBI0HFP,3Q5ZZ9ZEVPNE3GH4FRQSE47Z05Y85U,False,False,False,True,True,True,False,False,False,True
41,A36KCUA7C4F21G,3IKZ72A5B5OR8KXXR5SKIDO7EUONFT,True,True,False,True,True,True,True,False,True,True
42,A38XRCVYVF4A31,3OWEPKL08AKETRIR9MU8ULBQG6XN7H,False,True,True,True,False,True,True,True,True,True
43,A3D8ZG1VV5FO35,3IHR8NYAM89HDPCLN39TVYWBPJ54P7,True,False,True,True,False,True,True,True,False,False
44,A3DZEICLZNLJVK,3YZ8UPK3VUUX0YXWX4E5O2VYPDCUC4,True,True,False,True,False,True,False,False,True,False
45,A3PP2MN7BY9PLP,3TE3O85731GSMODDWHUU7EZS6NW2R0,True,True,True,True,False,True,True,False,True,True
46,A3U21PUMQ6NGT2,3JCG6DTRV4Y9260YLDVVY6NQQ77QQ0,False,False,False,True,True,True,True,False,True,True
47,AJQ71YIGY01HZ,3MRNMEIQW6E4M0GGOMHFHLHXXMWDLU,False,True,False,True,True,True,False,False,False,True
48,ANMD34DNHLOLC,39PAAFCODN8EZUO7OGJ09YXLR6MTVC,False,True,True,True,True,True,True,False,True,True
49,AROZ6EDDUGTLP,33L7PJKHCH6GOISUGN8QHKDDG8K8TL,True,True,True,True,True,True,True,True,True,True
50,AX5YKKRJ8IMN4,3DQQ64TANHTTMRV5X9FCQQF29C2PWC,False,True,True,True,False,True,True,True,True,False